Player,AHL.Season,AHL.GP,AHL.Goals,AHL.Assists,AHL.Fights,AHL.Points,NHL.Season,NHL.GP,NHL.Goals,NHL.Assists,NHL.Fights,NHL.Points,WHL.Seasons,WHL.GP,WHL.Goals,WHL.Assists,WHL.Fights,WHL.Points
Andrew Ladd,2,27,12,8,2,20,10,691,185,235,16,420,3,137,49,71,12,120
Spencer Machacek,6,415,117,155,20,272,3,25,2,7,1,9,3,203,77,91,10,168
Zdenek Blatny,6,331,66,89,8,155,3,25,3,0,0,3,3,170,102,107,4,209
Michal Repik,4,243,66,116,2,182,4,72,9,11,0,20,3,176,75,93,4,168
Tomas Vincour,4,157,45,45,0,90,4,95,7,10,0,17,3,171,62,61,4,123
Jakub Cutta,5,298,9,34,9,43,3,8,0,0,0,0,3,177,10,23,4,33
Kyle Rossiter,5,349,10,34,24,44,3,11,0,1,1,1,3,195,21,55,31,76
Dale Weise,3,194,57,54,19,111,5,258,23,36,25,59,3,173,51,61,17,112
Matt Calvert,3,128,40,42,7,82,5,209,42,44,10,86,3,198,99,131,11,230
Derek Dorsett,2,71,11,13,29,24,7,410,38,60,89,98,3,180,49,79,42,128
Emerson Etem,4,119,51,41,0,92,3,112,15,16,1,31,3,202,143,109,2,252
Tomas Mojzis,4,226,22,69,3,91,3,17,1,2,0,3,3,198,42,100,5,142
Pavel Brendl,3,160,51,56,0,107,4,78,11,11,0,22,3,178,172,148,3,320
Chris Nielsen,5,306,40,64,3,104,2,52,6,8,0,14,3,200,82,84,1,166
Darren Reid,5,203,41,41,17,82,2,21,0,1,2,1,3,167,55,87,38,142
Jozef Balej,5,227,55,89,2,144,2,18,1,5,0,6,3,176,105,85,1,190
Mike Sauer,3,177,13,33,10,46,3,98,4,14,9,18,3,156,15,52,6,67
Filip Novak,4,245,33,110,6,143,2,17,0,0,0,0,3,171,36,128,11,164
Kurt Sauer,1,4,0,0,0,0,7,357,5,28,11,33,3,180,12,42,8,54
Mario Bliznak,3,214,31,40,0,71,2,6,1,0,0,1,3,183,36,58,1,94
Shaun Heshka,5,354,25,89,3,114,1,8,0,2,0,2,3,204,25,82,3,107
Brandon Davidson,4,150,11,17,5,28,1,12,1,0,0,1,3,200,22,112,7,134
John Persson,4,177,44,30,3,74,1,10,1,0,0,1,3,200,63,67,1,130
Mitch Callahan,4,237,59,52,20,111,1,1,0,0,0,0,3,203,57,71,48,128
Matt Dumba,2,23,5,9,0,14,2,71,9,9,1,18,3,137,35,50,7,85
Ryan Nugent-Hopkins,1,19,8,12,0,20,4,258,65,123,1,188,3,141,57,120,1,177
Dominik Uher,3,193,24,33,16,57,1,2,0,0,0,0,3,181,58,86,14,144
Adam Lowry,2,73,17,17,3,34,1,80,11,12,1,23,3,163,45,71,9,116
David Musil,2,126,4,19,2,23,1,4,0,2,0,2,3,192,19,65,8,84
Denis Tolpeko,2,82,19,28,2,47,1,26,1,5,0,6,3,179,46,65,3,111
